Date,Open,High,Low,Close,Adj Close,Volume
2008-04-04,867.989990,871.679993,861.109985,868.809998,868.809998,321789000
2008-04-07,874.840027,878.010010,872.770020,875.760010,875.760010,292769500
2008-04-08,870.320007,871.020020,865.559998,870.619995,870.619995,263708100
2008-04-09,866.700012,872.109985,864.099976,864.309998,864.309998,297015300
2008-04-10,863.210022,864.929993,851.640015,862.880005,862.880005,356749100
2008-04-11,867.979980,871.789978,848.840027,853.179993,853.179993,335735000
2008-04-14,845.229980,851.380005,844.280029,847.760010,847.760010,262909400
2008-04-15,852.340027,856.140015,843.650024,850.640015,850.640015,301895700
2008-04-16,856.929993,865.030029,851.880005,864.119995,864.119995,388629400
2008-04-17,866.909973,870.500000,859.719971,863.690002,863.690002,358761100
2008-04-18,866.880005,882.830017,865.969971,880.830017,880.830017,438614500
2008-04-21,880.119995,881.049988,870.349976,873.900024,873.900024,301364200
2008-04-22,871.479980,876.969971,864.719971,868.409973,868.409973,300316800
2008-04-23,873.630005,879.500000,864.049988,878.510010,878.510010,337592200
2008-04-24,874.669983,876.330017,863.440002,874.770020,874.770020,313819900
2008-04-25,879.080017,888.479980,878.520020,882.500000,882.500000,309000000
2008-04-28,884.809998,892.960022,884.280029,890.150024,890.150024,215811700
2008-04-29,887.270020,892.020020,882.039978,884.590027,884.590027,297128400
2008-04-30,884.179993,890.799988,879.000000,889.369995,889.369995,300585300
2008-05-02,899.570007,906.070007,895.260010,901.650024,901.650024,332433900
2008-05-05,900.049988,902.469971,897.619995,900.320007,900.320007,145267900
2008-05-06,898.299988,901.150024,891.039978,896.539978,896.539978,304095200
2008-05-07,900.489990,907.729980,897.400024,903.770020,903.770020,318487200
2008-05-08,894.919983,900.919983,894.710022,899.409973,899.409973,272608700
2008-05-09,892.719971,893.010010,882.590027,887.929993,887.929993,274138100
2008-05-12,890.250000,896.140015,887.190002,890.340027,890.340027,163379000
2008-05-13,893.409973,895.340027,884.690002,891.169983,891.169983,298469600
2008-05-14,897.390015,900.900024,889.320007,899.059998,899.059998,298947600
2008-05-15,897.039978,901.429993,893.650024,900.460022,900.460022,282005700
2008-05-16,905.119995,909.109985,899.580017,902.250000,902.250000,321931000
2008-05-19,904.190002,914.090027,902.880005,914.090027,914.090027,261496700
2008-05-20,907.320007,908.729980,898.460022,899.450012,899.450012,272332600
2008-05-21,901.700012,903.969971,892.130005,895.020020,895.020020,327036100
2008-05-22,886.989990,897.450012,886.409973,894.400024,894.400024,291918200
2008-05-23,893.250000,893.309998,878.119995,878.119995,878.119995,273547400
2008-05-26,875.729980,881.570007,875.729980,878.919983,878.919983,114393600
2008-05-27,882.109985,883.150024,871.479980,873.049988,873.049988,264262400
2008-05-28,876.409973,889.950012,874.700012,884.400024,884.400024,299396500
2008-05-29,886.719971,889.989990,881.260010,885.270020,885.270020,291338100
2008-05-30,887.909973,893.940002,887.229980,891.919983,891.919983,331247900
2008-06-02,890.700012,891.210022,876.229980,878.359985,878.359985,255906500
2008-06-03,875.780029,886.419983,875.780029,886.309998,886.309998,266251000
2008-06-04,883.630005,883.859985,868.599976,876.190002,876.190002,320020700
2008-06-05,875.909973,882.859985,873.049988,877.000000,877.000000,353512400
2008-06-06,882.489990,886.190002,857.739990,857.739990,857.739990,384220400
2008-06-09,854.119995,860.440002,853.099976,857.080017,857.080017,316057900
2008-06-10,851.150024,856.210022,846.320007,851.219971,851.219971,374363600
2008-06-11,854.260010,857.599976,835.320007,835.979980,835.979980,384777100
2008-06-12,836.880005,841.119995,833.099976,837.590027,837.590027,392269500
2008-06-13,835.299988,838.250000,825.479980,836.679993,836.679993,299336500
2008-06-16,836.909973,838.609985,827.000000,833.280029,833.280029,254519500
2008-06-17,838.289978,844.320007,837.780029,837.849976,837.849976,296197000
2008-06-18,835.130005,836.440002,821.210022,824.729980,824.729980,336345800
2008-06-19,820.679993,825.880005,817.539978,817.539978,817.539978,377518600
2008-06-20,820.020020,821.989990,796.349976,802.280029,802.280029,546175000
2008-06-23,803.479980,805.320007,797.609985,800.859985,800.859985,301918100
2008-06-24,800.179993,803.880005,785.250000,794.479980,794.479980,449334700
2008-06-25,799.030029,804.190002,797.119995,803.809998,803.809998,324953000
2008-06-26,797.369995,797.369995,783.640015,783.640015,783.640015,513716600
2008-06-27,782.200012,784.520020,770.289978,778.700012,778.700012,465216800
2008-06-30,779.570007,784.419983,770.159973,782.979980,782.979980,455680700
2008-07-01,778.390015,780.330017,760.630005,765.580017,765.580017,465971900
2008-07-02,768.140015,773.450012,758.650024,758.650024,758.650024,429092700
2008-07-03,750.669983,766.489990,745.169983,763.669983,763.669983,478796600
2008-07-04,766.960022,766.960022,751.260010,751.260010,751.260010,234065500
2008-07-07,757.619995,764.969971,751.919983,763.809998,763.809998,263058300
2008-07-08,748.140015,753.460022,741.559998,750.590027,750.590027,415128800
2008-07-09,757.690002,762.979980,756.349976,761.900024,761.900024,366552000
2008-07-10,748.969971,753.919983,739.169983,742.900024,742.900024,391060300
2008-07-11,746.780029,748.719971,721.950012,721.950012,721.950012,441052700
2008-07-14,730.250000,735.890015,726.590027,727.539978,727.539978,314927300
2008-07-15,719.289978,719.700012,703.070007,709.780029,709.780029,575277100
2008-07-16,714.419983,718.599976,697.340027,717.869995,717.869995,519707300
2008-07-17,729.869995,744.380005,727.049988,738.090027,738.090027,526650000
2008-07-18,730.739990,748.460022,728.090027,748.460022,748.460022,491678900
2008-07-21,748.119995,760.020020,741.400024,754.710022,754.710022,473205300
